cuenta|descri|cta_raiz|cta_niv3|cn_nivel|||
1130100100|ALMACEN DE ALIMENTOS PERECEDEROS Y NO PERECEDEROS |1100000000|1130000000|5|||
1130110000|ALMACEN DE MATERIALES PARA PRODUCCION|1100000000|1130000000|4|||
1130110100|ALMACEN DE MATERIALES PARA PRODUCCION|1100000000|1130000000|5|||
1130120000|ALMACEN DE EPP E INDUMENTARIA|1100000000|1130000000|4|||
1130120100|ALMACEN DE EPP E INDUMENTARIA|1100000000|1130000000|5|||
1200000000|ACTIVOS NO CORRIENTES|1200000000||2|||
1210000000|PROPIEDAD PLANTA Y EQUIPO (ACTIVO FIJO)|1200000000|1210000000|3|||
1210010000|TERRENOS|1200000000|1210000000|4|||
1210010100|TERRENOS|1200000000|1210000000|5|||
1210020000|EDIFICIOS|1200000000|1210000000|4|||
1210020100|EDIFICIOS|1200000000|1210000000|5|||
1210030000|DEPRECIACION ACUMULADA EDIFICIO|1200000000|1210000000|4|||
1210030100|DEPRECIACION ACUMULADA EDIFICIO|1200000000|1210000000|5|||
1210040000|MAQUINARIAS|1200000000|1210000000|4|||
1210040100|MAQUINARIA  LIVIANA|1200000000|1210000000|5|||
1210040200|MAQUINARIA PESADA|1200000000|1210000000|5|||
1210040300|MAQUINARIA PARA PRODUCCION|1200000000|1210000000|5|||
1210050000|DEPRECIACION ACUMULADA MAQUINARIAS|1200000000|1210000000|4|||
1210050100|DEPRECIACION ACUMULADA MAQUINARIA LIVIANA|1200000000|1210000000|5|||
1210050200|DEPRECIACION ACUMULADA MAQUINARIA PESADA|1200000000|1210000000|5|||
1210050300|DEPRECIACION ACUMULADA MAQUINARIA PAR PRODUCCION|1200000000|1210000000|5|||
1210060000|HERRAMIENTAS Y UNIDADES DE REEMPLAZO|1200000000|1210000000|4|||
1210070000|DEPRECIACION ACUMULADA MAQUINARIA  DE HERRAMIENTAS|1200000000|1210000000|4|||
1210080000|VEHICULOS|1200000000|1210000000|4|||
1210080100|VEHICULOS|1200000000|1210000000|5|||
1210090000|DEPRECIACION ACUMULADA VEHICULOS|1200000000|1210000000|4|||
1210090100|DEPRECIACION ACUMULADA VEHICULOS|1200000000|1210000000|5|||
